device,annual_gal
Boiler,11427.908208955227
Gym Furnace,843.3880597014926
"CFS Furnace 1, 2, & 3",4680.803731343284
ECC Domestic Hot Water Heater,1525.2140318981903
ECC Stove,305.0428063796381
Admin Kitchen Stove,122.13399719031486
Elder Center Stove,5119.109164531857
