Date,Tavg,Tmin,Tmax
2014-12-31,34.94102329318874,33.69357533220045,36.16551370935211
2015-01-01,36.05196416530011,32.801396374132686,39.67072650919778
2015-01-02,38.744935267234716,36.57140394477146,41.05156306241503
2015-01-03,40.491788395577295,39.67581653208042,41.47440682558872
2015-01-04,43.90294693386525,40.19293298600354,49.53985742952274
2015-01-05,50.33905344118036,49.37164377303378,51.717757179825696
2015-01-06,47.62691022613843,44.46317168379393,50.62838312260102
2015-01-07,44.59114006889774,43.298173808751436,46.24364508816232
2015-01-08,43.64950535052861,42.28242311861537,45.73834603792723
2015-01-09,43.73740705936182,41.73418638288448,46.7596938524545
2015-01-10,44.56891597850776,43.31817786035922,45.67565487963459
2015-01-11,45.71989078301459,44.81536530950291,47.08644181870683
2015-01-12,45.19651147296972,43.85535188334294,47.37914616410236
2015-01-13,43.583869802975336,41.968152760622374,46.10774256900121
2015-01-14,42.46314444778326,39.71855878707042,46.16607485465105
2015-01-15,43.197088801575866,40.05771868155599,45.76201895606901
2015-01-16,46.54515077893266,44.57053983972372,49.39072129713993
2015-01-17,44.18414541590476,42.00071944979129,48.49206326040466
2015-01-18,49.49879639682599,46.81982087506462,53.3663240187009
2015-01-19,45.57253788958662,43.36632623108646,48.54327756965787
2015-01-20,43.37067953688473,41.323376864398554,46.619488322601434
2015-01-21,41.98082568984054,38.36106786703041,45.388855067458486
2015-01-22,45.94490121487695,44.32949892022926,49.116764020630754
2015-01-23,49.955456043841735,48.954613115277176,51.66025505855439
2015-01-24,51.87588764232044,50.822911574822044,53.69314996653342
2015-01-25,50.74458438739634,49.127320846109896,55.60968355325956
2015-01-26,49.884675956484536,46.36605799184387,55.13651371738795
2015-01-27,48.15771584534965,47.026419808381775,49.67870929901038
2015-01-28,45.902340958258144,43.50747658161475,49.066823103923696
2015-01-29,44.522677890951236,42.28309816309464,47.917271146794164
2015-01-30,43.89196951164249,40.651626606695665,47.857583233955914
2015-01-31,43.46108089821161,41.39164587684287,45.071490982792476
2015-02-01,45.57303843128381,44.87605022393402,47.15879935326992
2015-02-02,46.34424492834504,43.773959857805735,49.95214721719359
2015-02-03,46.56796013893075,45.303940749108406,48.286471169375524
2015-02-04,45.62008549115338,43.137124897364785,47.29368172900238
2015-02-05,50.475372021643615,47.26060919902975,53.06489079963245
2015-02-06,53.0619312249301,51.67956711858085,54.60977256557915
2015-02-07,51.024973456557035,48.85800538011362,53.53764777417469
2015-02-08,50.71653125130572,47.72340168687589,54.274140394840494
2015-02-09,49.713240302994286,47.78471110876561,51.98159490136916
