datetime,heat_unit_1,heat_unit_2,heat_unit_3,nonheat_ecc_dhw_heater,nonheat_ecc_stove,nonheat_admin_stove,nonheat_elder_stove
2024-01-01 00:00:00,2.407512243614959,0.17767618034058738,0.98610280089026,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,2.6389531081734066,0.1947566869500669,1.0808996125728714,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,2.8546216602863086,0.21067318526098217,1.169236178198451,0.0,0.0,0.0,0.0
2024-01-01 03:00:00,3.039820444536305,0.22434099221670148,1.2450925068026932,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,3.1819284698322194,0.23482866936031144,1.3032991149497284,0.0,0.0,0.0,0.0
2024-01-01 05:00:00,3.271261309094752,0.241421498826181,1.3398893184853042,0.0,0.0,0.0,0.0
2024-01-01 06:00:00,3.301731076957658,0.24367019018137698,1.3523695555066424,0.0,0.0,0.0,0.0
2024-01-01 07:00:00,3.271261309094752,0.241421498826181,1.3398893184853042,0.16395400060281468,0.5465133353427156,0.5465133353427156,2.623264009645035
2024-01-01 08:00:00,3.1819284698322194,0.23482866936031144,1.3032991149497284,0.16395400060281468,0.5465133353427156,0.5465133353427156,2.623264009645035
2024-01-01 09:00:00,3.039820444536305,0.22434099221670148,1.2450925068026932,0.16395400060281468,0.5465133353427156,0.5465133353427156,2.623264009645035
2024-01-01 10:00:00,2.8546216602863086,0.21067318526098217,1.169236178198451,0.16395400060281468,0.0,0.0,2.623264009645035
2024-01-01 11:00:00,2.6389531081734066,0.1947566869500669,1.0808996125728714,0.16395400060281468,0.0,0.0,2.623264009645035
2024-01-01 12:00:00,2.407512243614959,0.17767618034058738,0.98610280089026,0.16395400060281468,0.0,0.0,2.623264009645035
2024-01-01 13:00:00,2.176071379056512,0.16059567373110792,0.8913059892076488,0.16395400060281468,0.0,0.0,0.0
2024-01-01 14:00:00,1.9604028269436096,0.14467917542019257,0.8029694235820688,0.16395400060281468,0.0,0.0,0.0
2024-01-01 15:00:00,1.7752040426936133,0.13101136846447328,0.7271130949778268,0.16395400060281468,0.0,0.0,0.0
2024-01-01 16:00:00,1.6330960173976976,0.12052369132086331,0.6689064868307912,0.16395400060281468,0.0,0.0,0.0
2024-01-01 17:00:00,1.543763178135166,0.11393086185499378,0.6323162832952156,0.16395400060281468,0.0,0.0,0.0
2024-01-01 18:00:00,1.51329341027226,0.11168217049979778,0.6198360462738777,0.0,0.0,0.0,0.0
2024-01-01 19:00:00,1.543763178135166,0.11393086185499378,0.6323162832952156,0.0,0.0,0.0,0.0
2024-01-01 20:00:00,1.6330960173976987,0.1205236913208634,0.6689064868307918,0.0,0.0,0.0,0.0
2024-01-01 21:00:00,1.7752040426936133,0.13101136846447328,0.7271130949778268,0.0,0.0,0.0,0.0
2024-01-01 22:00:00,1.9604028269436096,0.14467917542019257,0.8029694235820688,0.0,0.0,0.0,0.0
2024-01-01 23:00:00,2.176071379056512,0.16059567373110792,0.8913059892076488,0.0,0.0,0.0,0.0
2024-01-02 00:00:00,2.751442564131382,0.20305849181781416,1.1269746295888685,0.0,0.0,0.0,0.0
2024-01-02 01:00:00,2.8226551378416733,0.20831403231303863,1.1561428793373643,0.0,0.0,0.0,0.0
2024-01-02 02:00:00,2.889014692337951,0.21321141640870486,1.183323361068312,0.0,0.0,0.0,0.0
2024-01-02 03:00:00,2.9459989336456416,0.21741689547200307,1.206663769869617,0.0,0.0,0.0,0.0
2024-01-02 04:00:00,2.989724479890539,0.2206438730546523,1.2245734954533203,0.0,0.0,0.0,0.0
2024-01-02 05:00:00,3.0172115073559334,0.22267243596722758,1.2358320196181132,0.0,0.0,0.0,0.0
2024-01-02 06:00:00,3.02658682054452,0.22336434099959557,1.2396720925477553,0.0,0.0,0.0,0.0
2024-01-02 07:00:00,3.0172115073559334,0.22267243596722758,1.2358320196181132,0.16395400060281468,0.5465133353427156,0.5465133353427156,2.623264009645035
2024-01-02 08:00:00,2.989724479890539,0.2206438730546523,1.2245734954533203,0.16395400060281468,0.5465133353427156,0.5465133353427156,2.623264009645035
2024-01-02 09:00:00,2.9459989336456416,0.21741689547200307,1.206663769869617,0.16395400060281468,0.5465133353427156,0.5465133353427156,2.623264009645035
2024-01-02 10:00:00,2.889014692337951,0.21321141640870486,1.183323361068312,0.16395400060281468,0.0,0.0,2.623264009645035
2024-01-02 11:00:00,2.8226551378416733,0.20831403231303863,1.1561428793373643,0.16395400060281468,0.0,0.0,2.623264009645035
