Outdoor Air Temperature for Heating (F),Heating COP (kWt/kWe),Heating CF (kWt_max/kWt_rated)
80,3.3,0
70,3,0.366
60,2.7,0.602
50,2.5,0.815
35,2.1,2.178
20,1.8,5.08
10,1.6,
