date,description,gallons,sale_amount
2009-12-07,PROPANE INDEX,607.2,1004.72
2009-12-14,PROPANE INDEX,868.2,1430.15
2009-12-21,PROPANE INDEX,500.1,870.15
2009-12-28,PROPANE INDEX,600.1,1094.86
2010-01-04,PROPANE INDEX,457.8,873.36
2010-01-11,PROPANE INDEX,425.9,837.71
2010-01-18,PROPANE INDEX,464.0,938.7
2010-01-25,PROPANE INDEX,449.4,909.79
2010-02-01,PROPANE INDEX,400.0,771.98
2010-02-08,PROPANE INDEX,496.1,952.65
2010-02-22,PROPANE INDEX,934.2,1935.09
2010-03-08,PROPANE INDEX,797.1,1610.19
2010-03-15,PROPANE INDEX,500.0,1017.48
2010-03-22,PROPANE INDEX,335.2,688.7
2010-04-05,PROPANE INDEX,775.0,1283.23
2010-04-19,PROPANE INDEX,700.0,1160.98
2010-05-03,PROPANE INDEX,600.0,1021.98
2010-05-10,PROPANE INDEX,255.2,446.16
2010-06-28,PROPANE INDEX,1193.2,1929.1
2010-08-11,PROPANE INDEX,650.0,935.99
2010-09-20,PROPANE INDEX,648.6,1050.75
2010-10-18,PROPANE INDEX,704.3,1203.26
2010-10-25,PROPANE INDEX,260.4,458.27
2010-11-08,PROPANE INDEX,665.4,1150.82
2010-11-15,PROPANE INDEX,451.1,784.37
2010-11-24,PROPANE INDEX,580.6,1005.82
2010-11-29,PROPANE INDEX,687.4,1188.44
2010-12-06,PROPANE INDEX,518.9,931.44
2010-12-29,PROPANE INDEX,1329.0,2498.22
2011-01-03,PROPANE INDEX,700.0,1295.0
2011-01-10,PROPANE INDEX,676.0,1250.6
2011-01-13,PROPANE INDEX,286.4,529.84
2011-01-24,PROPANE INDEX,819.3,1515.71
2011-01-31,PROPANE INDEX,621.2,1124.37
2011-02-07,PROPANE INDEX,624.9,1131.07
2011-02-14,PROPANE INDEX,544.3,979.74
2011-02-21,PROPANE INDEX,600.0,1080.0
2011-02-28,PROPANE INDEX,1082.3,1948.14
2011-03-07,PROPANE INDEX,592.3,1101.68
2011-03-14,PROPANE INDEX,507.6,949.21
2011-03-21,PROPANE INDEX,577.8,1080.49
2011-03-28,PROPANE INDEX,426.9,798.3
2011-04-04,PROPANE INDEX,507.6,949.21
2011-04-11,PROPANE INDEX,452.4,800.75
2011-04-18,PROPANE INDEX,493.0,862.75
2011-04-25,PROPANE INDEX,434.2,759.85
2011-05-02,PROPANE INDEX,362.3,655.76
2011-05-09,PROPANE INDEX,344.3,643.84
2011-05-18,PROPANE INDEX,368.6,685.6
2011-06-27,PROPANE INDEX,872.9,1553.76
2011-09-27,PROPANE INDEX,836.7,1573.0
2011-10-25,PROPANE INDEX,996.6,1993.2
2011-11-15,PROPANE INDEX,1598.0,3148.06
2011-11-28,PROPANE INDEX,1129.0,2224.13
2011-12-12,PROPANE INDEX,1464.6,2885.26
2011-12-27,PROPANE INDEX,1301.5,2563.96
2012-01-09,PROPANE INDEX,1121.7,2153.66
2012-01-23,PROPANE INDEX,1424.0,2605.92
2012-02-06,PROPANE INDEX,1343.8,2284.46
2012-02-27,PROPANE INDEX,1700.0,2890.0
2012-03-12,PROPANE INDEX,1234.0,1962.06
2012-03-23,PROPANE INDEX,1013.3,1631.41
2012-04-02,PROPANE INDEX,657.8,1059.06
2012-04-16,PROPANE INDEX,627.9,1017.2
2012-05-08,PROPANE INDEX,1121.1,1569.54
2012-05-29,PROPANE INDEX,578.4,805.42
2012-07-03,PROPANE INDEX,615.7,740.63
2012-09-14,PROPANE INDEX,863.9,1181.21
2012-10-19,PROPANE INDEX,604.3,888.2
2012-10-25,PROPANE INDEX,743.8,1067.28
2012-11-15,PROPANE INDEX,933.7,1387.38
2012-11-29,PROPANE INDEX,981.3,1455.17
2012-12-13,PROPANE INDEX,1062.7,1559.94
2012-12-30,PROPANE INDEX,800.3,1251.51
2013-01-07,PROPANE INDEX,800.0,1238.72
2013-01-14,PROPANE INDEX,225.6,351.53
2013-01-17,PROPANE INDEX,1368.0,2127.65
2013-01-28,PROPANE INDEX,994.8,1612.27
2013-02-11,PROPANE INDEX,1097.0,1836.27
2013-02-25,PROPANE INDEX,1069.1,1739.64
2013-03-11,PROPANE INDEX,829.6,1345.78
2013-03-29,PROPANE INDEX,1305.3,2176.85
2013-04-19,PROPANE INDEX,918.7,1470.38
2013-05-10,PROPANE INDEX,728.7,1135.82
2013-06-28,PROPANE INDEX,802.3,1009.45
2013-09-17,PROPANE INDEX,616.5,1021.29
2013-10-10,PROPANE INDEX,893.1,1502.82
2013-10-31,PROPANE INDEX,920.6,1662.51
2013-11-15,PROPANE INDEX,1072.1,2023.48
2013-11-27,PROPANE INDEX,823.1,1545.21
2013-12-06,PROPANE INDEX,950.9,1902.94
2013-12-16,PROPANE INDEX,1031.1,2103.96
2013-12-26,PROPANE INDEX,859.0,1753.39
2014-01-09,PROPANE INDEX,1250.2,2708.56
2014-01-20,PROPANE INDEX,823.0,1861.38
2014-01-30,PROPANE INDEX,882.0,3233.32
2014-02-09,PROPANE INDEX,1086.8,2640.92
2014-02-20,PROPANE INDEX,1003.6,2438.75
2014-03-03,PROPANE INDEX,814.1,1978.26
2014-03-13,PROPANE INDEX,715.7,1699.79
2014-03-24,PROPANE INDEX,772.4,1761.07
2014-04-07,PROPANE INDEX,838.9,1761.69
2014-04-21,PROPANE INDEX,702.5,1369.88
2014-05-12,PROPANE INDEX,726.8,1380.92
2014-06-19,PROPANE INDEX,607.0,1031.9
2014-09-08,PROPANE INDEX,654.8,1113.16
2014-10-20,PROPANE INDEX,677.5,1151.75
2014-11-06,PROPANE INDEX,764.8,1300.16
2014-11-17,PROPANE INDEX,1183.2,2011.44
2014-12-02,PROPANE INDEX,1436.0,2441.2
2014-12-13,PROPANE INDEX,371.3,631.21
2014-12-19,PROPANE INDEX,1100.1,1870.17
2014-12-30,PROPANE INDEX,1116.1,1897.37
2015-01-08,PROPANE INDEX,867.9,1475.43
2015-01-16,PROPANE INDEX,786.7,1337.39
2015-01-29,PROPANE INDEX,957.7,1628.09
2015-02-09,PROPANE INDEX,780.4,1326.68
2015-02-26,PROPANE INDEX,1211.8,2060.06
2015-03-09,PROPANE INDEX,883.9,1502.63
2015-03-30,PROPANE INDEX,1009.8,1595.48
2015-04-13,PROPANE INDEX,845.3,1335.57
2015-05-11,PROPANE INDEX,1079.0,1704.82
2015-08-28,PROPANE INDEX,1117.0,1653.16
2015-10-15,PROPANE INDEX,1006.0,1488.88
2015-11-07,PROPANE INDEX,1307.3,1934.8
2015-11-20,PROPANE INDEX,1064.7,1575.76
2015-12-03,PROPANE INDEX,1496.3,2214.52
2015-12-18,PROPANE INDEX,1483.7,2195.88
2015-12-30,PROPANE INDEX,1506.9,2230.21
2016-01-11,PROPANE INDEX,1686.8,2496.46
2016-01-25,PROPANE INDEX,1241.7,1837.72
2016-02-01,PROPANE INDEX,215.1,346.05
2016-02-08,PROPANE INDEX,1381.5,2044.62
2016-02-23,PROPANE INDEX,1350.1,1998.15
2016-03-02,ADJUSTMENT,1686.8,-2496.46
2016-03-02,PROPANE INDEX,1686.8,2496.46
2016-03-02,ADJUSTMENT,215.1,-346.05
2016-03-02,PROPANE INDEX,215.1,318.35
2016-03-13,PROPANE INDEX,1114.2,1323.22
2016-03-24,PROPANE INDEX,1210.3,1408.55
2016-04-14,PROPANE INDEX,1108.8,1273.35
2016-05-06,PROPANE INDEX,700.0,796.6
2016-06-20,PROPANE INDEX,750.0,861.9
2016-08-25,PROPANE INDEX,558.7,576.3
2016-10-13,PROPANE INDEX,550.0,602.09
2016-10-13,PROPANE BULK,200.0,239.66
2016-10-24,PROPANE INDEX,1008.2,1148.84
2016-11-10,PROPANE INDEX,948.7,1089.01
2016-11-25,PROPANE INDEX,1159.4,1289.72
2016-12-07,PROPANE INDEX,1287.1,1516.2
2016-12-16,PROPANE INDEX,1408.2,1847.56
2016-12-22,PROPANE INDEX,870.0,1190.86
2017-01-01,PROPANE INDEX,1075.0,1513.92
2017-01-06,PROPANE INDEX,1164.1,1652.56
2017-01-13,PROPANE INDEX,1289.8,1874.72
2017-01-21,PROPANE INDEX,1143.8,1493.26
2017-02-02,PROPANE INDEX,1105.4,1677.33
2017-02-06,PROPANE INDEX,600.6,940.66
2017-02-13,PROPANE INDEX,1217.7,1758.12
2017-02-27,PROPANE INDEX,1595.1,2203.95
2017-03-09,PROPANE INDEX,1330.0,1820.77
2017-03-16,PROPANE INDEX,200.1,312.94
2017-03-21,PROPANE INDEX,1164.3,1597.42
2017-04-03,PROPANE INDEX,1199.9,1616.63
2017-04-19,PROPANE INDEX,1253.3,1533.16
2017-05-03,REVERSE MAINT WORKSHEET 0 NET,1164.3,1597.42
2017-05-03,REVERSE MAINT WORKSHEET 0 NET,1595.1,2203.95
2017-05-03,REVERSE MAINT WORKSHEET 0 NET,1330.0,1820.77
2017-05-03,REVERSE MAINT WORKSHEET 0 NET,200.1,312.94
2017-05-11,PROPANE INDEX,1078.4,1238.22
2017-06-11,PROPANE INDEX,886.8,1012.28
2017-07-31,PROPANE INDEX,590.9,657.26
2017-09-21,PROPANE INDEX,607.3,778.38
2017-10-09,PROPANE INDEX,523.0,783.56
2017-10-24,PROPANE INDEX,848.0,1267.68
2017-11-06,PROPANE INDEX,1217.0,1887.08
2017-11-18,PROPANE INDEX,750.6,1165.31
2017-11-28,PROPANE INDEX,1241.2,1931.8
2017-12-08,PROPANE INDEX,1211.8,1881.93
2017-12-16,PROPANE INDEX,1177.5,1930.98
2017-12-26,PROPANE INDEX,1345.9,2162.46
2018-01-03,PROPANE INDEX,524.5,878.64
2018-01-03,PROPANE INDEX,766.0,1283.2
2018-01-15,PROPANE INDEX,1101.8,1812.13
2018-01-19,PROPANE INDEX,664.7,1097.55
2018-01-25,PROPANE INDEX,647.6,1056.37
2018-02-01,PROPANE INDEX,873.1,1402.55
2018-02-15,PROPANE INDEX,1448.2,2246.59
2018-02-22,PROPANE INDEX,1103.0,1664.54
2018-03-02,PROPANE INDEX,1019.9,1507.11
2018-03-11,PROPANE INDEX,1206.7,1767.09
2018-03-21,PROPANE INDEX,879.9,1264.06
2018-03-31,PROPANE INDEX,897.9,1287.14
2018-04-12,PROPANE INDEX,951.2,1302.57
2018-04-21,PROPANE INDEX,595.1,809.46
2018-05-14,PROPANE INDEX,726.7,994.13
2018-06-17,PROPANE INDEX,721.4,936.95
2018-07-21,PROPANE INDEX,489.6,629.04
2018-08-30,PROPANE INDEX,528.9,739.67
2018-09-27,PROPANE INDEX,668.9,955.06
2018-10-21,PROPANE INDEX,1036.7,1643.58
2018-11-08,PROPANE INDEX,1117.2,1745.85
2018-11-19,PROPANE INDEX,972.4,1543.78
2018-12-02,PROPANE INDEX,1099.8,1708.98
2018-12-10,PROPANE INDEX,1143.2,1686.22
2018-12-23,PROPANE INDEX,1220.0,1897.47
2019-01-03,PROPANE INDEX,842.5,1303.01
2019-01-10,PROPANE INDEX,866.0,1300.04
2019-01-20,PROPANE INDEX,1300.0,1851.2
2019-01-31,PROPANE INDEX,1126.7,1588.99
2019-02-08,PROPANE INDEX,1029.9,1419.41
2019-02-14,PROPANE INDEX,900.1,1261.58
2019-02-24,PROPANE INDEX,1274.5,1862.17
2019-03-07,PROPANE INDEX,1166.0,1772.09
2019-03-19,REVERSE MAINT WORKSHEET 0 NET,842.5,291.83
2019-03-21,PROPANE INDEX,1132.9,1673.29
2019-04-04,PROPANE INDEX,1068.2,1496.33
2019-04-18,PROPANE INDEX,1031.8,1410.57
2019-05-09,PROPANE INDEX,910.1,1199.69
2019-06-16,PROPANE INDEX,759.9,948.51
2019-07-14,PROPANE INDEX,426.3,483.94
2019-08-29,PROPANE INDEX,549.6,595.55
2019-09-30,PROPANE INDEX,700.0,853.86
2019-10-11,PROPANE INDEX,1003.9,1290.11
2019-10-25,PROPANE INDEX,1108.0,1462.67
2019-11-05,PROPANE INDEX,1406.3,1863.91
2019-11-19,PROPANE INDEX,1109.2,1558.54
2019-11-27,PROPANE INDEX,1085.3,1531.14
2019-12-04,PROPANE INDEX,1143.9,1613.01
2019-12-12,PROPANE INDEX,897.4,1250.44
2019-12-20,PROPANE INDEX,1004.3,1406.12
2019-12-29,PROPANE INDEX,1200.1,1657.34
2020-01-06,PROPANE INDEX,738.0,1002.35
2020-01-12,PROPANE INDEX,1100.0,1461.68
2020-01-19,PROPANE INDEX,1140.7,1476.64
2020-01-28,PROPANE INDEX,996.8,1309.4
2020-02-06,PROPANE INDEX,1146.9,1506.57
2020-02-15,PROPANE INDEX,1149.9,1467.16
2020-02-23,PROPANE INDEX,1100.0,1436.49
2020-02-23,PROPANE INDEX,747.7,1078.46
2020-03-04,PROPANE INDEX,1202.0,1558.87
2020-03-16,PROPANE INDEX,730.2,937.28
2020-03-17,PROPANE INDEX,883.4,1133.93
2020-03-29,PROPANE INDEX,1098.5,1410.03
2020-04-09,PROPANE INDEX,875.0,1080.63
2020-04-21,PROPANE INDEX,621.5,762.77
2020-05-08,PROPANE INDEX,627.7,784.63
2020-06-12,PROPANE INDEX,795.0,999.32
2020-08-04,PROPANE INDEX,782.3,960.43
2020-09-21,PROPANE BULK,881.5,2599.54
2020-09-22,ADJUSTMENT,881.5,-2599.54
2020-09-22,PROPANE BULK,881.5,1139.07
2020-10-08,PROPANE INDEX,461.2,684.14
2020-10-18,PROPANE INDEX,312.3,463.92
2020-10-26,PROPANE INDEX,1255.2,1885.31
2020-11-06,PROPANE INDEX,839.8,1294.89
2020-11-16,PROPANE INDEX,910.0,1401.86
2020-11-20,PROPANE INDEX,730.4,1125.98
2020-12-01,PROPANE INDEX,1250.1,1945.41
2020-12-11,PROPANE INDEX,974.9,1508.76
2020-12-18,PROPANE INDEX,1025.4,1667.1
2020-12-26,PROPANE INDEX,1214.0,2014.75
2021-01-05,PROPANE INDEX,1204.3,2166.42
2021-01-14,PROPANE INDEX,1100.1,2150.26
2021-01-20,PROPANE INDEX,750.4,1589.42
2021-01-30,PROPANE INDEX,900.0,1895.4
2021-02-05,PROPANE INDEX,1246.4,2487.81
2021-02-12,PROPANE INDEX,517.9,1004.67
2021-02-16,PROPANE INDEX,1318.6,2569.82
2021-02-26,PROPANE INDEX,1349.9,2772.42
2021-03-09,PROPANE INDEX,991.3,2006.19
2021-03-18,PROPANE INDEX,1325.6,2682.75
2021-03-29,PROPANE INDEX,1069.8,1977.74
2021-04-05,PROPANE INDEX,849.8,1571.03
2021-04-16,PROPANE INDEX,1000.0,1736.8
2021-05-05,PROPANE INDEX,740.6,1171.04
2021-05-10,PROPANE INDEX,1111.0,1749.94
2021-05-30,PROPANE INDEX,826.1,1309.45
2021-07-25,PROPANE INDEX,600.4,1023.68
2021-09-13,PROPANE INDEX,846.1,1596.93
2021-10-12,PROPANE INDEX,1051.9,2443.25
2021-10-28,PROPANE INDEX,1061.0,2432.13
2021-11-03,PROPANE INDEX,865.9,1975.81
2021-11-13,PROPANE INDEX,1000.0,2256.3
2021-11-24,PROPANE INDEX,1147.6,2553.64
2021-12-06,PROPANE INDEX,1347.6,2998.68
2021-12-17,PROPANE INDEX,1000.0,2225.2
2021-12-18,PROPANE INDEX,400.0,890.08
2021-12-29,PROPANE INDEX,1461.0,3221.8
2022-01-08,PROPANE INDEX,1050.6,2316.78
2022-01-21,PROPANE INDEX,839.0,1890.6
2022-02-04,PROPANE INDEX,1164.0,2809.78
2022-02-19,PROPANE INDEX,1100.0,2641.21
2022-03-04,PROPANE INDEX,1101.3,2634.2
2022-03-16,PROPANE INDEX,1053.8,2511.21
2022-03-21,PROPANE INDEX,740.5,1764.61
2022-03-30,PROPANE INDEX,469.4,1118.58
2022-04-01,PROPANE INDEX,880.6,2098.47
2022-04-15,PROPANE INDEX,1304.4,3108.39
2022-04-27,PROPANE INDEX,998.9,2380.38
2022-05-10,PROPANE INDEX,1100.1,2621.54
2022-05-26,PROPANE INDEX,852.5,1942.34
2022-06-15,PROPANE INDEX,576.6,1260.27
2022-07-21,PROPANE INDEX,662.1,1404.38
2022-09-29,PROPANE INDEX,852.4,1595.52
2022-10-18,PROPANE INDEX,860.8,1611.25
2022-10-29,PROPANE INDEX,803.2,1503.43
2022-11-07,PROPANE INDEX,1179.5,2243.17
2022-11-13,PROPANE INDEX,932.4,1773.24
2022-11-21,PROPANE INDEX,1277.5,2429.55
2022-11-29,PROPANE INDEX,1086.1,2119.85
2022-12-06,PROPANE INDEX,1249.9,2439.55
2022-12-15,PROPANE INDEX,1202.0,2382.12
2022-12-24,PROPANE INDEX,1727.9,3500.9
2023-01-03,PROPANE INDEX,1125.6,2280.58
2023-01-11,PROPANE INDEX,971.9,1891.9
2023-01-19,PROPANE INDEX,900.8,1886.1
2023-01-28,PROPANE INDEX,1166.3,2442.0
2023-02-04,PROPANE INDEX,1077.4,2271.48
2023-02-13,PROPANE INDEX,1108.9,2337.89
2023-02-21,PROPANE INDEX,1059.4,2233.53
2023-02-28,PROPANE INDEX,1257.8,2651.82
2023-03-08,PROPANE INDEX,1157.8,2440.99
2023-03-14,PROPANE INDEX,857.4,1786.91
2023-03-23,PROPANE INDEX,925.0,1890.79
2023-04-03,PROPANE INDEX,1262.9,2581.49
2023-04-08,PROPANE INDEX,707.5,1446.2
2023-04-19,PROPANE INDEX,1030.7,2086.24
2023-05-31,PROPANE INDEX,919.7,1488.81
2023-06-23,PROPANE INDEX,861.4,1296.41
