date_pacific,tavg_F,tmin_F,tmax_F
2017-09-13 17:00:00-07:00,60.82729064986285,56.41380065944268,67.34094708450796
2017-09-14 17:00:00-07:00,60.25886409005415,52.06855802231625,67.15707094700375
2017-09-15 17:00:00-07:00,60.758981894563355,54.671972447310466,70.40255408994042
2017-09-16 17:00:00-07:00,60.28540971063807,57.35699555009491,70.75452778328375
2017-09-17 17:00:00-07:00,55.2258653491697,52.09162525365237,58.40350594690583
2017-09-18 17:00:00-07:00,54.029970758280484,51.66082612097013,57.32931972530672
2017-09-19 17:00:00-07:00,52.9800085414623,50.907136383039834,56.37040252246413
2017-09-20 17:00:00-07:00,53.94406396082369,51.2513135207663,59.13457018266799
2017-09-21 17:00:00-07:00,56.525010746677374,52.767641366375315,61.407407601572515
2017-09-22 17:00:00-07:00,58.29972842830974,54.78185972559113,64.91546900105423
2017-09-23 17:00:00-07:00,58.768353297825946,53.62718274548812,65.5047976937835
2017-09-24 17:00:00-07:00,59.22527956501015,56.180667146273514,65.0677429942705
2017-09-25 17:00:00-07:00,59.525600637611156,55.98893566683415,64.82399676624016
2017-09-26 17:00:00-07:00,60.310522990679715,55.53045205723627,68.66980811979843
2017-09-27 17:00:00-07:00,63.50728103630991,56.64774569387826,76.80863438654964
2017-09-28 17:00:00-07:00,62.70200914227173,59.048996228540695,75.46145289673504
2017-09-29 17:00:00-07:00,56.3785005793074,52.899965268099116,62.313180942800685
2017-09-30 17:00:00-07:00,54.53808553713541,52.042657741101436,58.71432731330553
2017-10-01 17:00:00-07:00,53.74116509859707,49.15495906966204,59.25074804257902
2017-10-02 17:00:00-07:00,55.430064275390386,49.824933943581,61.750014022924915
2017-10-03 17:00:00-07:00,55.18728822896486,50.227569762354754,61.317610389692334
2017-10-04 17:00:00-07:00,55.019191794132404,49.357336608180006,62.094931975235
2017-10-05 17:00:00-07:00,55.469890139789726,50.67969561489641,61.898779871171925
2017-10-06 17:00:00-07:00,55.189485888094225,49.963023472557595,60.992501462343604
2017-10-07 17:00:00-07:00,51.99649953066504,49.05108793346598,56.05676241224636
2017-10-08 17:00:00-07:00,51.33583101005013,45.984375488177214,58.26802931886404
2017-10-09 17:00:00-07:00,52.581013085963576,49.78373108302094,58.20707020763679
2017-10-10 17:00:00-07:00,48.390337357255085,45.805667653366434,53.16149000658739
2017-10-11 17:00:00-07:00,48.18716242963822,46.573308899566975,51.02264468558709
2017-10-12 17:00:00-07:00,48.025559260050386,46.08289035309724,50.57325339007016
2017-10-13 17:00:00-07:00,47.552261141509575,43.76790349466917,52.77296760593638
2017-10-14 17:00:00-07:00,51.480332597865385,47.32583334792578,56.66995144816019
2017-10-15 17:00:00-07:00,52.099984423569204,48.01435503815221,57.12943251811362
2017-10-16 17:00:00-07:00,54.09737619707119,52.00391962868399,58.168573251816596
2017-10-17 17:00:00-07:00,52.1048715370267,49.08743605881309,57.48663936228324
2017-10-18 17:00:00-07:00,54.39212924859148,52.63743806101526,57.535146748292405
2017-10-19 17:00:00-07:00,50.306804443021235,48.0335297462841,52.69767188320848
2017-10-20 17:00:00-07:00,48.605927931789886,47.505226367682496,51.47610597158426
2017-10-21 17:00:00-07:00,54.234727385046064,50.57547472837281,56.61415981124776
2017-10-22 17:00:00-07:00,52.93723824695712,49.33910544733892,59.43041140990819
2017-10-23 17:00:00-07:00,53.285627818841625,48.757075605561965,59.14965896112508
2017-10-24 17:00:00-07:00,51.66694676969926,47.78016856061667,56.743420662577066
2017-10-25 17:00:00-07:00,52.24994616304178,49.605257172634516,55.07785084353776
2017-10-26 17:00:00-07:00,51.80476971105398,48.258304517738864,58.21514508695257
2017-10-27 17:00:00-07:00,53.512256779689295,48.71215294787187,62.37444569556349
2017-10-28 17:00:00-07:00,53.00584298222795,49.12030375283024,61.10009266804451
2017-10-29 17:00:00-07:00,53.26117968247499,49.018315926575426,57.78491293828557
2017-10-30 17:00:00-07:00,49.570994592611015,44.54510494429976,56.06164921193344
2017-10-31 17:00:00-07:00,50.65433035893579,49.09239731809837,54.67042662796931
2017-11-01 17:00:00-07:00,48.24485575135052,46.79824326432911,51.30375187441124
2017-11-02 17:00:00-07:00,41.074783869632085,37.09087952612695,45.93993290302088
2017-11-03 17:00:00-07:00,39.39069984566816,38.166763963312974,40.899036004433825
2017-11-04 17:00:00-07:00,39.30341181834964,37.846396389613474,41.457821119470054
