year,month,gallons,temp_F,predicted_gal,heating_gal
2023,1,4164.6,42.0,3686.607323449217,3097.3156567825504
2023,2,4503.5,40.6,3937.913974039696,3348.6223073730293
2023,3,2940.2,41.24,3823.0309337697627,3233.739267103096
2023,4,3001.1000000000004,48.6,2501.8759706655273,1912.5843039988608
2023,5,919.7,60.3,401.6703907308074,0.0
2023,6,861.4,61.4,204.2151652668581,0.0
2023,7,0.0,67.5,-890.763812305946,0.0
2023,8,699.3,69.3,-1213.872363065133,0.0
2023,9,1023.7,62.0,96.51231501379516,0.0
2023,10,1248.3,54.5,1442.7979431770782,853.5062765104116
2023,11,3413.8,44.8,3183.994022268258,2594.7023556015915
2023,12,3008.7,44.3,3273.7463974791435,2684.454730812477
2024,1,4178.2,40.0,4045.616824292759,3456.3251576260923
2024,2,3324.5,44.1,3309.6473475634975,2720.355680896831
2024,3,2540.3,46.6,2860.8854715090692,2271.5938048424027
2024,4,2686.6,50.3,2196.717894948517,1607.4262282818504
2024,5,934.0,53.192,1677.5901567287547,1088.2984900620881
2024,6,965.5,58.484,727.6510174967425,138.35935083007587
2024,7,0.0,67.42516129,-877.3299083455095,0.0
2024,8,935.8,63.58129032,-187.33680922216809,0.0
2024,9,0.0,60.062,444.3925213311886,0.0
2024,10,1980.2,50.87096774,2094.2264732809344,1504.934806614268
2024,11,2903.2,43.412,3433.146615853676,2843.8549491870094
2024,12,3575.3,41.74903226,3731.6572249818328,3142.3655583151663
2025,1,4422.6,39.8,4081.5177743771137,3492.226107710447
2025,2,3755.0,40.1,4027.6663492505813,3438.374682583915
2025,3,2052.2,44.61741935,3216.768116278353,2627.4764496116863
2025,4,2778.1,52.6,1783.8569689784435,1194.565302311777
2025,5,737.3,53.98322581,1535.561365177442,946.2696985107754
2025,6,1143.0,60.092,439.00737881853456,0.0
2025,7,733.5,64.91677419,-427.06250799881855,0.0
2025,8,755.1,70.2,-1375.4266384447274,0.0
2025,9,0.0,64.2,-298.39813591410166,0.0
2025,10,1752.4,53.3,1658.203643683204,1068.9119770165375
2025,11,2729.8,48.9,2448.024545538996,1858.7328788723294
2025,12,3749.8,45.0,3148.093072183903,2558.8014055172366
2026,1,3988.7,43.0,3507.102573027446,2917.8109063607794
